critical_vuln;high_vuln;medium_vuln;dt_created;issues_list;tool;cd_month_start;id_vulnerability;scan_date
;0;19;15/05/2023;['Unsafe Object Binding', 'Spring Overly Permissive Cross Origin Resource Sharing Policy', 'Incorrect Permission Assignment For Critical Resources', 'Spring Missing Function Level Authorization', 'Improper Resource Access Authorization', 'Log Forging', 'Portability Flaw Locale Dependent Comparison', 'Integer Overflow', 'Integer Underflow', 'Improper Exception Handling', 'Spring Use Of Hardcoded Password', 'Spring Missing Content Security Policy', 'Spring Missing Expect CT Header', 'Improper Resource Shutdown or Release', 'Information Exposure Through an Error Message', 'Race Condition Format Flaw', 'Heap Inspection', 'Potential Clickjacking on Legacy Browsers', 'Java Find Imports', 'Java Find Methods', 'Undocumented API', 'Spring Missing Object Level Authorization', 'Portability Flaw In File Separator'];SAST;01/05/2023;13;15/06/2023
;0;0;15/05/2023;['Client Privacy Violation', 'Cleartext Submission of Sensitive Information', 'Input Path Not Canonicalized', 'SSRF', 'Excessive Data Exposure', 'Missing HSTS Header', 'Parameter Tampering', 'Stored Absolute Path Traversal', 'Improper Exception Handling', 'Portability Flaw Locale Dependent Comparison', 'Spring Overly Permissive Cross Origin Resource Sharing Policy', 'Log Forging', 'Heap Inspection', 'Angular Deprecated API', 'Improper Resource Access Authorization', 'Incorrect Permission Assignment For Critical Resources', 'Race Condition Format Flaw', 'Unsafe Use Of Target blank', 'Spring Use Of Hardcoded Password', 'Authorization Bypass Through User Controlled SQL PrimaryKey', 'Information Exposure Through an Error Message', 'Serializable Class Containing Sensitive Data', 'Client DOM Open Redirect', 'Improper Resource Shutdown or Release', 'Reliance on Cookies in a Decision', 'Angular Usage of Unsafe DOM Sanitizer', 'Client Hardcoded Domain', 'Cookie Overly Broad Path', 'Escape False', 'Potential Clickjacking on Legacy Browsers', 'Missing Content Security Policy', 'Missing X Frame Options', 'Open Redirect', 'Reversible One Way Hash', 'Use of Broken or Risky Cryptographic Algorithm', 'Use Of Hardcoded Password', 'Spring Missing Content Security Policy', 'Spring Missing Expect CT Header', 'Java Find Methods', 'Java Find Imports', 'Undocumented API', 'Just One of Equals and Hash code Defined', 'Spring Missing Object Level Authorization'];SAST;01/05/2023;14;15/06/2023
;109;8145;15/05/2023;['Client DOM Stored XSS', 'Reflected XSS All Clients', 'Client DOM Code Injection', 'Client DOM Stored Code Injection', 'Client DOM XSS', 'CSRF', 'Client Potential XSS', 'Value Shadowing', 'Cookie Injection', 'HttpOnlyCookies', 'Insecure Cookie', 'No Request Validation', 'HttpOnlyCookies In Config', 'Client Privacy Violation', 'Missing HSTS Header', 'Client JQuery Deprecated Symbols', 'Information Exposure Through an Error Message', 'Improper Exception Handling', 'Unencrypted Web Config File', 'Password in Configuration File', 'Heuristic Stored XSS', 'Improper Resource Shutdown or Release', 'Client DOM Open Redirect', 'Unsafe Use Of Target blank', 'Use Of Hardcoded Password', 'Heuristic SQL Injection', 'Heap Inspection', 'Client Hardcoded Domain', 'Client Use Of Iframe Without Sandbox', 'Insufficiently Protected Credentials', 'Open Redirect', 'Missing X Frame Options', 'Missing Content Security Policy', 'Potential Clickjacking on Legacy Browsers', 'Use of Insufficiently Random Values', 'CustomError', 'DebugEnabled', 'Hardcoded Absolute Path', 'Suspicious Endpoints'];SAST;01/05/2023;15;15/06/2023
;0;35;16/05/2023;['Unsafe Object Binding', 'SSRF', 'Cleartext Submission of Sensitive Information', 'Angular Improper Type Pipe Usage', 'Missing HSTS Header', 'Improper Exception Handling', 'Spring Overly Permissive Cross Origin Resource Sharing Policy', 'Improper Resource Access Authorization', 'Plaintext Storage in a Cookie', 'Portability Flaw Locale Dependent Comparison', 'Spring Use Of Hardcoded Password', 'Unsynchronized Access To Shared Data', 'Use Of Hardcoded Password', 'Log Forging', 'Client Hardcoded Domain', 'Improper Resource Shutdown or Release', 'Potential ReDoS', 'Open Redirect', 'Reliance on Cookies in a Decision', 'Potential Clickjacking on Legacy Browsers', 'Cookie Overly Broad Path', 'Heap Inspection', 'Unsafe Use Of Target blank', 'Spring Missing Content Security Policy', 'Spring Missing Expect CT Header', 'Java Find Methods', 'Java Find Imports', 'Undocumented API'];SAST;01/05/2023;16;15/06/2023
;45;112;16/05/2023;['Reflected XSS All Clients', 'Client DOM XSS', 'Stored XSS', 'Client Potential XSS', 'Path Traversal', 'Use of Hard coded Cryptographic Key', 'Reflected XSS Specific Clients', 'Value Shadowing', 'Client ReDos In RegExp', 'Client DOM Cookie Poisoning', 'Missing HSTS Header', 'No Request Validation', 'HttpOnlyCookies In Config', 'Client JQuery Deprecated Symbols', 'Improper Exception Handling', 'Thread Safety Issue', 'Client DOM Open Redirect', 'Unprotected Cookie', 'Information Exposure Through an Error Message', 'Client Use Of Iframe Without Sandbox', 'Client Side Only Validation', 'Unencrypted Web Config File', 'Use Of Hardcoded Password', 'Improper Resource Shutdown or Release', 'Password in Configuration File', 'Trust Boundary Violation in Session Variables', 'Client Password In Comment', 'Cleansing Canonicalization and Comparison Errors', 'Log Forging', 'Missing Content Security Policy', 'Potential ReDoS', 'Use Of Broken Or Risky Cryptographic Algorithm', 'CustomError', 'Potential Clickjacking on Legacy Browsers', 'Unsafe Use Of Target blank', 'Deprecated Methods'];SAST;01/05/2023;17;15/06/2023
;0;4;15/05/2023;['HttpOnlyCookies In Config', 'Missing HSTS Header', 'Unchecked Input for Loop Condition', 'Log Forging', 'Improper Exception Handling', 'Information Exposure Through an Error Message', 'Improper Resource Access Authorization', 'Private Array Returned From A Public Method', 'Public Data Assigned to Private Array', 'Improper Resource Shutdown or Release', 'Portability Flaw Locale Dependent Comparison', 'Use Of Hardcoded Password In Config', 'Incorrect Permission Assignment For Critical Resources', 'Missing Content Security Policy', 'Missing X Frame Options', 'Serializable Class Containing Sensitive Data', 'Stored Log Forging', 'Use Of Hardcoded Password', 'Spring Missing Content Security Policy', 'Spring Missing Expect CT Header', 'Java Find Methods', 'Java Find Imports', 'Undocumented API'];SAST;01/05/2023;18;15/06/2023
;26;19;15/05/2023;['Reflected XSS All Clients', 'Client DOM Stored XSS', 'Second Order SQL Injection', 'Stored XSS', 'Client Potential XSS', 'Unchecked Input for Loop Condition', 'HttpOnlyCookies In Config', 'HttpOnlyCookies', 'Client State Saving Method JSF', 'Frameable Login Page', 'Missing HSTS Header', 'Improper Exception Handling', 'Information Exposure Through an Error Message', 'Stored Log Forging', 'Portability Flaw Locale Dependent Comparison', 'Race Condition Format Flaw', 'Client JQuery Deprecated Symbols', 'Improper Resource Shutdown or Release', 'Private Array Returned From A Public Method', 'Public Data Assigned to Private Array', 'Incorrect Permission Assignment For Critical Resources', 'Improper Resource Access Authorization', 'Unsynchronized Access To Shared Data', 'Unsafe Use Of Target blank', 'Use Of Hardcoded Password In Config', 'Public Static Final References Mutable Object', 'Collapse of Data into Unsafe Value', 'Heap Inspection', 'Log Forging', 'Serializable Class Containing Sensitive Data', 'Trust Boundary Violation in Session Variables', 'Use of Non Cryptographic Random', 'Creation of Temp File in Dir with Incorrect Permissions', 'Potential Clickjacking on Legacy Browsers', 'Missing Content Security Policy', 'Missing X Frame Options', 'Password In Comment', 'Race Condition', 'Reversible One Way Hash', 'Sensitive Cookie in HTTPS Session Without Secure Attribute', 'Use of Broken or Risky Cryptographic Algorithm', 'Spring Missing Expect CT Header', 'Spring Missing Content Security Policy', 'Spring defaultHtmlEscape Not True', 'Java Find Methods', 'Java Find Imports', 'Portability Flaw In File Separator', 'Hardcoded Absolute Path', 'Just One of Equals and Hash code Defined', 'Undocumented API'];SAST;01/05/2023;19;15/06/2023
;0;6;15/05/2023;['Excessive Data Exposure', 'Insecure Cookie', 'Client HTML5 Store Sensitive data In Web Storage', 'Client Privacy Violation', 'Missing HSTS Header', 'Log Forging', 'Client Hardcoded Domain', 'Angular Usage of Unsafe DOM Sanitizer', 'Heap Inspection', 'Improper Exception Handling', 'JWT Use Of Hardcoded Secret', 'Missing Content Security Policy', 'Missing Function Level Authorization', 'Password In Comment', 'Potential Clickjacking on Legacy Browsers', 'Unsafe Use Of Target blank', 'Missing X Frame Options', 'Angular Deprecated API', 'Undocumented API'];SAST;01/05/2023;20;15/06/2023
;16;30;15/05/2023;['OS Access Violation', 'Reflected XSS All Clients', 'Stored XSS', 'Path Traversal', 'CSRF', 'SSRF', 'Missing HSTS Header', 'Client Hardcoded Domain', 'Improper Resource Shutdown or Release', 'Unsafe Use Of Target blank', 'Missing Content Security Policy', 'Overly Permissive Cross Origin Resource Sharing Policy', 'Client Server Empty Password', 'Use Of Hardcoded Password', 'Potential Clickjacking on Legacy Browsers', 'Python Find Methods', 'Python Find Imports'];SAST;01/05/2023;21;15/06/2023
;0;2;15/05/2023;['Client Privacy Violation', 'Client Potential XSS', 'Client DOM Open Redirect', 'Client Password In Comment', 'Potential Clickjacking on Legacy Browsers'];SAST;01/05/2023;22;15/06/2023
;0;59;16/05/2023;['Unsafe Object Binding', 'Input Path Not Canonicalized', 'Relative Path Traversal', 'Unchecked Input for Loop Condition', 'Stored Absolute Path Traversal', 'Absolute Path Traversal', 'Log Forging', 'Incorrect Permission Assignment For Critical Resources', 'Improper Exception Handling', 'Portability Flaw Locale Dependent Comparison', 'Improper Resource Shutdown or Release', 'Improper Resource Access Authorization', 'Information Exposure Through an Error Message', 'Use Of Hardcoded Password In Config', 'Stored Log Forging', 'Uncontrolled Memory Allocation', 'Use Of Hardcoded Password', 'Heap Inspection', 'Potential Clickjacking on Legacy Browsers', 'Trust Boundary Violation in Session Variables', 'Spring Missing Expect CT Header', 'Spring Missing Content Security Policy', 'Java Find Methods', 'Java Find Imports', 'Explicit Calls To Methods', 'Portability Flaw In File Separator'];SAST;01/05/2023;23;15/06/2023
;0;0;15/05/2023;['Object Hijack', 'Heap Inspection', 'Use Of Hardcoded Password In Config', 'Spring Missing Expect CT Header', 'Spring Missing Content Security Policy', 'Use of Wrong Operator in String Comparison', 'Explicit Calls To Methods', 'Java Find Imports', 'Exposure of Resource to Wrong Sphere', 'Declaration Of Catch For Generic Exception', 'Empty Methods', 'Missing Default Case In Switch Statement', 'Omitted Break Statement In Switch', 'Just One of Equals and Hash code Defined'];SAST;01/05/2023;24;15/06/2023
;0;10;15/05/2023;['Use of Cryptographically Weak PRNG', 'Use of Insufficiently Random Values', 'Privacy Violation', 'Reversible One Way Hash', 'Use of Broken or Risky Cryptographic Algorithm', 'Use Of Hardcoded Password', 'Heap Inspection', 'Use Of Hardcoded Password In Config', 'Use of Wrong Operator in String Comparison', 'Explicit Calls To Methods', 'Exposure of Resource to Wrong Sphere', 'Declaration Of Catch For Generic Exception', 'Empty Methods', 'Deprecated Groovy Code', 'Getter Method Could Be Property', 'Use Collect Nested', 'Declaration of Throws for Generic Exception', 'Public Static Field Not Marked Final'];SAST;01/05/2023;25;15/06/2023
;0;13;15/05/2023;['CGI Stored XSS', 'Improper Restriction of Stored XXE Ref', 'Input Path Not Canonicalized', 'Stored Absolute Path Traversal', 'CGI Reflected XSS All Clients', 'Improper Restriction of XXE Ref', 'Improper Exception Handling', 'Improper Resource Access Authorization', 'Information Exposure Through an Error Message', 'Improper Resource Shutdown or Release', 'Incorrect Permission Assignment For Critical Resources', 'Portability Flaw Locale Dependent Comparison', 'Heap Inspection', 'Not Using a Random IV with CBC Mode', 'Reversible One Way Hash', 'Use of Broken or Risky Cryptographic Algorithm', 'Integer Overflow', 'Integer Underflow', 'Unsynchronized Access To Shared Data', 'Java Find Methods', 'Java Find Imports', 'Portability Flaw In File Separator', 'Just One of Equals and Hash code Defined', 'Use of System exit'];SAST;01/05/2023;26;15/06/2023
;0;0;15/05/2023;['Incorrect Permission Assignment For Critical Resources', 'Improper Resource Shutdown or Release', 'Potential Clickjacking on Legacy Browsers', 'Improper Resource Access Authorization', 'Information Exposure Through an Error Message', 'Java Find Methods', 'Java Find Imports'];SAST;01/05/2023;27;15/06/2023
;0;0;12/05/2023;['Client DOM Stored XSS', 'Client DOM Stored Code Injection', 'Client Potential XSS', 'CSRF', 'Client Potential Code Injection', 'Client JQuery Deprecated Symbols', 'Improper Exception Handling', 'Unencrypted Web Config File', 'Heuristic SQL Injection', 'Password in Configuration File', 'Heap Inspection', 'Client DOM Open Redirect', 'Improper Resource Shutdown or Release', 'Use Of Hardcoded Password', 'Unprotected Cookie', 'DebugEnabled', 'Unsafe Use Of Target blank', 'Improper Transaction Handling', 'Client Server Empty Password', 'Potential ReDoS In Static Field', 'Client Hardcoded Domain', 'Information Exposure Through an Error Message', 'Missing Content Security Policy', 'Potential ReDoS In Code', 'Thread Safety Issue', 'Potential Clickjacking on Legacy Browsers', 'CustomError'];SAST;01/05/2023;28;15/06/2023
0;0;1;10/05/2023;['CVE-2022-24329'];SCA;01/05/2023;29;15/06/2023
0;4;20;23/01/2023;['Cxdca8e59f-8bfe', 'CVE-2007-2379', 'CVE-2020-11023', 'Cx7d80a499-a51a', 'CVE-2014-6071', 'CVE-2015-9251', 'CVE-2019-11358', 'CVE-2020-11022', 'Cxf0b588a3-5c6f', 'CVE-2016-10707', 'Cxb90148b9-bcbe', 'CVE-2019-14862', 'CVE-2020-7656', 'CVE-2012-6708', 'CVE-2023-2251', 'CVE-2022-29117', 'Cx46691637-14e8', 'CVE-2018-1285', 'CVE-2019-8331', 'CVE-2018-20676', 'CVE-2016-10735', 'CVE-2018-14040', 'CVE-2018-20677', 'CVE-2018-14042', 'Cx3b412226-50de'];SCA;01/01/2023;30;15/06/2023
